la_name,cluster,quintiles,score_in_cluster
Leicestershire,4.0,0,-1.534780060756698
Wiltshire,4.0,0,-1.4571195427614367
Cumbria,4.0,0,-1.2045794705501252
Cornwall,4.0,0,-0.9349713218676087
North Yorkshire,4.0,1,-0.8874544865153354
West Sussex,4.0,1,-0.7965419131098125
Worcestershire,4.0,1,-0.5342819090945921
Herefordshire,4.0,1,-0.2060931434619248
Somerset,4.0,2,-0.17047478250556386
Isle of Wight,4.0,2,0.13965636016680635
Shropshire,4.0,2,0.19342170252282173
Dorset,4.0,3,0.20097607814244872
North Somerset,4.0,3,0.5093588337103656
Devon,4.0,3,0.6380334599828317
Suffolk,4.0,3,0.6469884602550067
Norfolk,4.0,4,0.6552369104133332
Lincolnshire,4.0,4,0.7358990428390146
East Riding of Yorkshire,4.0,4,0.8207338466974257
East Sussex,4.0,4,3.1240377194923155
