la_name,cluster,quintiles,score_in_cluster
Bolton,1.0,0,-1.6738309327352587
Rochdale,1.0,0,-1.4996485258429624
Tameside,1.0,0,-1.3192883869107677
Bradford,1.0,0,-0.9145610762987435
Middlesbrough,1.0,1,-0.9089518318184545
Stoke-on-Trent,1.0,1,-0.5160615405681485
Nottingham,1.0,1,-0.22279096766937287
Walsall,1.0,2,-0.20770165959497974
Oldham,1.0,2,-0.12002165254389759
Blackpool,1.0,2,0.04305891049484438
Sandwell,1.0,2,0.17301248486334653
Blackburn with Darwen,1.0,3,0.3611573562873789
Kingston Upon Hull City of,1.0,3,0.40705254690457005
Birmingham,1.0,3,0.47673542306625605
Wolverhampton,1.0,4,0.5628538615787351
Leicester,1.0,4,1.0077551208278548
Manchester,1.0,4,1.0156021306041452
Barking and Dagenham,1.0,4,2.492039053542641
