la_name,cluster,quintiles,score_in_cluster
Wandsworth,3.0,0,-1.6394281603725989
Enfield,3.0,0,-1.6120634752302796
Kensington and Chelsea,3.0,0,-1.5330986292142756
Merton,3.0,0,-1.0551564332956536
Ealing,3.0,0,-0.9899383612838799
Lambeth,3.0,1,-0.8132627965223954
Camden,3.0,1,-0.649795038265492
Barnet,3.0,1,-0.5598905395740892
Redbridge,3.0,1,-0.5001492656817089
Hillingdon,3.0,1,-0.3505165064295794
Islington,3.0,2,-0.23476752145416255
Waltham Forest,3.0,2,-0.01471734814459559
Haringey,3.0,2,-0.012295330142077926
Tower Hamlets,3.0,2,0.2229958424975577
Brent,3.0,3,0.23615082574295632
Hounslow,3.0,3,0.2597255034560606
Croydon,3.0,3,0.37814650352612067
Harrow,3.0,3,0.46031201950599493
Lewisham,3.0,3,0.6204685419355693
Southwark,3.0,4,0.7569055991527452
Westminster,3.0,4,0.8809586685551279
Hackney,3.0,4,1.3136755149600534
Slough,3.0,4,1.4250994983271925
Newham,3.0,4,2.0708274811986147
