la_name,cluster,quintiles,score_in_cluster
Stockport,6.0,0,-2.1864769216733615
Cheshire East,6.0,0,-1.150257897308408
Havering,6.0,0,-1.1287305620491812
Nottinghamshire,6.0,0,-0.9023709418019499
Cheshire West and Chester,6.0,0,-0.845108429531046
Brighton and Hove,6.0,1,-0.6378551661883904
Torbay,6.0,1,-0.5378475010409134
Derbyshire,6.0,1,-0.5211077379344666
Bedford Borough,6.0,1,-0.4447842798595793
Swindon,6.0,2,-0.27287341018367034
York,6.0,2,-0.2519488694201052
Warwickshire,6.0,2,-0.008804298986373388
Staffordshire,6.0,2,0.24635629833961506
Solihull,6.0,3,0.2839603120288634
Essex,6.0,3,0.3112728230868972
Milton Keynes,6.0,3,0.4196787132103215
Trafford,6.0,3,0.4441540563000078
Kent,6.0,4,0.5961893819394353
Bournemouth Christchurch and Poole,6.0,4,0.6233274778025057
Warrington,6.0,4,1.3146410476512755
Northumberland,6.0,4,1.489011809304523
Bexley,6.0,4,2.4021116668865203
