la_name,cluster,quintiles,score_in_cluster
Halton,5.0,0,-1.7031497292951927
Wirral,5.0,0,-1.1135169212712464
Wigan,5.0,0,-0.9805631914220708
Liverpool,5.0,1,-0.8041736974884639
St. Helens,5.0,1,-0.7354612848260651
Gateshead,5.0,1,-0.431217765496329
North Tyneside,5.0,2,-0.4024708032783554
Knowsley,5.0,2,-0.22139008281676334
Sefton,5.0,2,-0.14483597951942992
Barnsley,5.0,3,0.7284686075851311
South Tyneside,5.0,3,1.010719403791824
Salford,5.0,3,1.0907954547612133
Darlington,5.0,4,1.2170804366529784
Newcastle upon Tyne,5.0,4,1.2347525026854949
Sunderland,5.0,4,1.8603576354237554
