time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,gender,number_of_children,point_score,average_point_score,elg_number,elg_percent,gld_number,gld_percent,comm_lang_lit_number,comm_lang_lit_percent
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Girls,1749,62688,35.8,1372,78.4,1385,79.2,1395,79.8
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Boys,1792,59988,33.5,1150,64.2,1181,65.9,1189,66.4
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Total,3348,118761,35.5,2440,72.9,2470,73.8,2502,74.7
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Girls,1603,58951,36.8,1293,80.7,1303,81.3,1315,82
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Boys,1745,59810,34.3,1147,65.7,1167,66.9,1187,68
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston Upon Hull City of,Total,3286,108655,33.1,2085,63.5,2226,67.7,2234,68
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston Upon Hull City of,Girls,1603,55244,34.5,1137,70.9,1203,75,1207,75.3
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston Upon Hull City of,Boys,1683,53411,31.7,948,56.3,1023,60.8,1027,61
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Total,5277,180819,34.3,3621,68.6,3679,69.7,3720,70.5
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Girls,2521,89358,35.4,1916,76,1938,76.9,1961,77.8
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Boys,2756,91461,33.2,1705,61.9,1741,63.2,1759,63.8
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Total,9785,340296,34.8,6420,65.6,6499,66.4,6585,67.3
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Girls,4825,173829,36,3512,72.8,3541,73.4,3580,74.2
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Boys,4960,166467,33.6,2908,58.6,2958,59.6,3005,60.6
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Total,1897,64090,33.8,1333,70.3,1351,71.2,1357,71.5
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Girls,935,32703,35,727,77.8,732,78.3,736,78.7
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Boys,962,31387,32.6,606,63,619,64.3,621,64.6
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Total,1837,62400,34,1292,70.3,1318,71.7,1335,72.7
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Girls,891,31332,35.2,688,77.2,694,77.9,701,78.7
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Boys,946,31068,32.8,604,63.8,624,66,634,67
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Total,5987,209706,35,4299,71.8,4361,72.8,4403,73.5
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Girls,2898,104766,36.2,2284,78.8,2301,79.4,2328,80.3
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Boys,3089,104940,34,2015,65.2,2060,66.7,2075,67.2
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Total,3212,109290,34,2213,68.9,2258,70.3,2279,71
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Girls,1584,56017,35.4,1213,76.6,1222,77.1,1232,77.8
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Boys,1628,53273,32.7,1000,61.4,1036,63.6,1047,64.3
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Total,6230,213547,34.3,4340,69.7,4362,70,4394,70.5
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Girls,3078,108572,35.3,2350,76.3,2356,76.5,2365,76.8
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Boys,3152,104975,33.3,1990,63.1,2006,63.6,2029,64.4
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Total,4149,141048,34,2892,69.7,2939,70.8,2955,71.2
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Girls,1970,69964,35.5,1538,78.1,1553,78.8,1559,79.1
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Boys,2179,71084,32.6,1354,62.1,1386,63.6,1396,64.1
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Total,1950,70156,36,1447,74.2,1475,75.6,1489,76.4
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Girls,960,35307,36.8,762,79.4,772,80.4,778,81
Academic year,201819,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Boys,990,34849,35.2,685,69.2,703,71,711,71.8
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Total,3259,112284,34.5,2266,69.5,2303,70.7,2328,71.4
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Girls,1625,58640,36.1,1254,77.2,1272,78.3,1284,79
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Boys,1634,53644,32.8,1012,61.9,1031,63.1,1044,63.9
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Total,8193,285035,34.8,5671,69.2,5800,70.8,5872,71.7
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Girls,4042,145832,36.1,3088,76.4,3137,77.6,3171,78.5
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Boys,4151,139203,33.5,2583,62.2,2663,64.2,2701,65.1
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Total,4703,158976,33.8,3083,65.6,3185,67.7,3207,68.2
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Girls,2254,78995,35,1625,72.1,1657,73.5,1664,73.8
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Boys,2449,79981,32.7,1458,59.5,1528,62.4,1543,63
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Total,7682,267717,34.8,5452,71,5539,72.1,5613,73.1
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Girls,3806,136652,35.9,2967,78,2993,78.6,3023,79.4
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Boys,3876,131065,33.8,2485,64.1,2546,65.7,2590,66.8
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Total,7954,273093,34.3,5491,69,5539,69.6,5604,70.5
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Girls,3865,137220,35.5,2941,76.1,2965,76.7,2989,77.3
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Boys,4089,135873,33.2,2550,62.4,2574,62.9,2615,64
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Total,9278,316054,34.1,6452,69.5,6585,71,6669,71.9
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Girls,4538,159605,35.2,3465,76.4,3510,77.3,3546,78.1
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Boys,4740,156449,33,2987,63,3075,64.9,3123,65.9
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Total,3739,122894,32.9,2437,65.2,2502,66.9,2511,67.2
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Girls,1851,63281,34.2,1356,73.3,1377,74.4,1381,74.6
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Boys,1888,59613,31.6,1081,57.3,1125,59.6,1130,59.9
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Total,9337,315659,33.8,6483,69.4,6585,70.5,6643,71.1
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Girls,4520,158101,35,3461,76.6,3499,77.4,3521,77.9
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Boys,4817,157558,32.7,3022,62.7,3086,64.1,3122,64.8
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Total,392,14205,36.2,305,77.8,305,77.8,311,79.3
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Girls,179,6611,36.9,145,81,145,81,147,82.1
Academic year,201819,Local Authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Boys,213,7594,35.7,160,75.1,160,75.1,164,77
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Total,15788,524345,33.2,10456,66.2,10736,68,10847,68.7
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Girls,7666,264647,34.5,5646,73.6,5739,74.9,5784,75.5
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Boys,8122,259698,32,4810,59.2,4997,61.5,5063,62.3
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Total,4354,143786,33,2988,68.6,3004,69,3030,69.6
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Girls,2128,72462,34.1,1579,74.2,1583,74.4,1594,74.9
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Boys,2226,71324,32,1409,63.3,1421,63.8,1436,64.5
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Total,3890,128888,33.1,2528,65,2611,67.1,2649,68.1
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Girls,1940,66964,34.5,1421,73.2,1451,74.8,1470,75.8
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Boys,1950,61924,31.8,1107,56.8,1160,59.5,1179,60.5
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Total,1850,64737,35,1392,75.2,1395,75.4,1413,76.4
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Girls,870,31223,35.9,696,80,698,80.2,707,81.3
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Boys,980,33514,34.2,696,71,697,71.1,706,72
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total,4686,150827,32.2,3053,65.2,3128,66.8,3148,67.2
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Girls,2323,77093,33.2,1673,72,1696,73,1708,73.5
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Boys,2363,73734,31.2,1380,58.4,1432,60.6,1440,60.9
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Total,2926,104914,35.9,2109,72.1,2123,72.6,2154,73.6
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Girls,1362,50591,37.1,1086,79.7,1087,79.8,1097,80.5
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Boys,1564,54323,34.7,1023,65.4,1036,66.2,1057,67.6
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Total,2695,93334,34.6,1894,70.3,1956,72.6,1985,73.7
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Girls,1301,46427,35.7,987,75.9,1011,77.7,1026,78.9
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Boys,1394,46907,33.6,907,65.1,945,67.8,959,68.8
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Total,9430,334154,35.4,6913,73.3,7017,74.4,7093,75.2
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Girls,4672,172042,36.8,3738,80,3773,80.8,3806,81.5
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Boys,4758,162112,34.1,3175,66.7,3244,68.2,3287,69.1
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Total,3369,111812,33.2,2204,65.4,2256,67,2264,67.2
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Girls,1701,59006,34.7,1242,73,1261,74.1,1266,74.4
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Boys,1668,52806,31.7,962,57.7,995,59.7,998,59.8
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Total,2209,74951,33.9,1536,69.5,1576,71.3,1584,71.7
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Girls,1111,38902,35,845,76.1,857,77.1,862,77.6
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Boys,1098,36049,32.8,691,62.9,719,65.5,722,65.8
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Total,3870,124585,32.2,2535,65.5,2614,67.5,2639,68.2
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Girls,1924,64253,33.4,1424,74,1461,75.9,1476,76.7
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Boys,1946,60332,31,1111,57.1,1153,59.2,1163,59.8
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Total,6453,220618,34.2,4589,71.1,4634,71.8,4698,72.8
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Girls,3124,110415,35.3,2469,79,2480,79.4,2500,80
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Boys,3329,110203,33.1,2120,63.7,2154,64.7,2198,66
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Total,3487,114564,32.9,2325,66.7,2422,69.5,2442,70
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Girls,1678,56939,33.9,1225,73,1264,75.3,1275,76
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Boys,1809,57625,31.9,1100,60.8,1158,64,1167,64.5
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Total,6241,217585,34.9,4441,71.2,4493,72,4541,72.8
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Girls,3083,111013,36,2377,77.1,2393,77.6,2419,78.5
Academic year,201819,Local Authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Boys,3158,106572,33.7,2064,65.4,2100,66.5,2122,67.2
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Total,2314,76916,33.2,1567,67.7,1598,69.1,1615,69.8
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Girls,1116,38261,34.3,833,74.6,843,75.5,852,76.3
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Boys,1198,38655,32.3,734,61.3,755,63,763,63.7
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Total,7092,242335,34.2,4955,69.9,5063,71.4,5128,72.3
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Girls,3452,121651,35.2,2660,77.1,2685,77.8,2718,78.7
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Boys,3640,120684,33.2,2295,63,2378,65.3,2410,66.2
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Total,3600,123938,34.4,2577,71.6,2610,72.5,2662,73.9
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Girls,1771,62831,35.5,1397,78.9,1411,79.7,1429,80.7
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Boys,1829,61107,33.4,1180,64.5,1199,65.6,1233,67.4
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Total,16898,591771,35,12376,73.2,12569,74.4,12714,75.2
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Girls,8287,299813,36.2,6605,79.7,6672,80.5,6735,81.3
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Boys,8611,291958,33.9,5771,67,5897,68.5,5979,69.4
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Total,14190,501611,35.3,10203,71.9,10354,73,10487,73.9
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Girls,6975,255013,36.6,5463,78.3,5517,79.1,5574,79.9
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Boys,7215,246598,34.2,4740,65.7,4837,67,4913,68.1
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Total,3220,106484,33.1,2151,66.8,2202,68.4,2225,69.1
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Girls,1519,52128,34.3,1138,74.9,1156,76.1,1167,76.8
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Boys,1701,54356,32,1013,59.6,1046,61.5,1058,62.2
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Total,8985,300757,33.5,6428,71.5,6514,72.5,6614,73.6
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Girls,4342,149272,34.4,3429,79,3462,79.7,3505,80.7
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Boys,4643,151485,32.6,2999,64.6,3052,65.7,3109,67
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Total,3022,102146,33.8,1953,64.6,2024,67,2046,67.7
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Girls,1421,49655,34.9,1027,72.3,1052,74,1060,74.6
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Boys,1601,52491,32.8,926,57.8,972,60.7,986,61.6
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Total,2177,77207,35.5,1594,73.2,1610,74,1629,74.8
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Girls,1055,38477,36.5,831,78.8,834,79.1,842,79.8
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Boys,1122,38730,34.5,763,68,776,69.2,787,70.1
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Total,7900,270504,34.2,5465,69.2,5589,70.7,5681,71.9
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Girls,3853,136635,35.5,3010,78.1,3051,79.2,3088,80.1
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Boys,4047,133869,33.1,2455,60.7,2538,62.7,2593,64.1
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Total,2417,81939,33.9,1736,71.8,1782,73.7,1789,74
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Girls,1209,42433,35.1,956,79.1,981,81.1,983,81.3
Academic year,201819,Local Authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Boys,1208,39506,32.7,780,64.6,801,66.3,806,66.7
Academic year,201819,Local Authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Total,1299,46356,35.7,986,75.9,992,76.4,1009,77.7
Academic year,201819,Local Authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Girls,636,23335,36.7,522,82.1,523,82.2,529,83.2
Academic year,201819,Local Authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Boys,663,23021,34.7,464,70,469,70.7,480,72.4
Academic year,201819,Local Authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Total,2639,89959,34.1,1874,71,1888,71.5,1915,72.6
Academic year,201819,Local Authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Girls,1270,44384,34.9,977,76.9,981,77.2,993,78.2
