time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,gender,number_of_children,point_score,average_point_score,elg_number,elg_percent,gld_number,gld_percent,comm_lang_lit_number,comm_lang_lit_percent
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Boys,591,17834,30.2,217,36.7,233,39.4,281,47.5
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,1886,56421,29.9,672,35.6,720,38.2,828,43.9
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Girls,913,28967,31.7,422,46.2,442,48.4,495,54.2
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Boys,973,27454,28.2,250,25.7,278,28.6,333,34.2
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Total,2934,94655,32.3,1195,40.7,1279,43.6,1492,50.9
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Girls,1417,47938,33.8,713,50.3,752,53.1,861,60.8
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Boys,1517,46717,30.8,482,31.8,527,34.7,631,41.6
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Total,2418,79500,32.9,1112,46,1169,48.3,1351,55.9
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Girls,1203,41114,34.2,665,55.3,683,56.8,788,65.5
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Boys,1215,38386,31.6,447,36.8,486,40,563,46.3
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Total,3433,112776,32.9,1622,47.2,1694,49.3,1901,55.4
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Girls,1690,57287,33.9,926,54.8,950,56.2,1072,63.4
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Boys,1743,55489,31.8,696,39.9,744,42.7,829,47.6
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,1564,47421,30.3,720,46,791,50.6,861,55.1
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Girls,768,24002,31.3,420,54.7,449,58.5,485,63.2
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Boys,796,23419,29.4,300,37.7,342,43,376,47.2
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Total,1605,50468,31.4,736,45.9,796,49.6,868,54.1
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Girls,802,26150,32.6,428,53.4,456,56.9,500,62.3
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Boys,803,24318,30.3,308,38.4,340,42.3,368,45.8
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Total,2495,78260,31.4,956,38.3,1025,41.1,1162,46.6
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Girls,1284,41874,32.6,607,47.3,627,48.8,702,54.7
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Boys,1211,36386,30,349,28.8,398,32.9,460,38
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Total,3253,106203,32.6,1634,50.2,1728,53.1,1870,57.5
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Girls,1595,54138,33.9,927,58.1,971,60.9,1043,65.4
Academic Year,201213,Local Authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Boys,1658,52065,31.4,707,42.6,757,45.7,827,49.9
Academic Year,201213,Local Authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,2114,66368,31.4,780,36.9,842,39.8,995,47.1
Academic Year,201213,Local Authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Girls,1029,33488,32.5,446,43.3,473,46,560,54.4
Academic Year,201213,Local Authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Boys,1085,32880,30.3,334,30.8,369,34,435,40.1
Academic Year,201213,Local Authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,1691,54349,32.1,821,48.6,873,51.6,972,57.5
Academic Year,201213,Local Authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Girls,839,28026,33.4,494,58.9,515,61.4,574,68.4
Academic Year,201213,Local Authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Boys,852,26323,30.9,327,38.4,358,42,398,46.7
